state,population,productivity
Alabama,4863300,1.1791
Arizona,6931071,1.3847
Arkansas,2988248,1.3705
California,39250017,1.7979
Colorado,5540545,1.0325
Connecticut,3576452,1.3209
Delaware,952065,1.4345
Florida,20612439,1.6304
Georgia,10310371,1.3891
Idaho,1683140,1.4285
Illinois,12801539,1.5297
Indiana,6633053,1.422
Iowa,3134693,1.5297
Kansas,2907289,1.0124
Kentucky,4436974,0.9403
Louisiana,4681666,0.9904
Maine,1331479,1.3877
Maryland,6016447,1.2457
Massachusetts,6811779,1.1458
Michigan,9928300,1.1058
Minnesota,5519952,1.2359
Mississippi,2988726,1.1306
Missouri,6093000,1.0212
Montana,1042520,0.8145
Nebraska,1907116,1.1619
Nevada,2940058,0.964
New Hampshire,1334795,1.0204
New Jersey,8944469,1.2831
New Mexico,2081015,0.8925
New York,19745289,1.1327
North Carolina,10146788,1.3554
North Dakota,757952,1.0278
Ohio,11614373,1.2075
Oklahoma,3923561,0.7693
Oregon,4093465,1.3154
Pennsylvania,12784227,1.0601
Rhode Island,1056426,1.4192
South Carolina,4961119,1.1247
South Dakota,865454,1.076
Tennessee,6651194,0.7648
Texas,27862596,0.8873
Utah,3051217,0.9638
Vermont,624594,1.0762
Virginia,8411808,0.966
Washington,7288000,1.1457
West Virginia,1831102,0.5777
Wisconsin,5778708,1.113
Wyoming,585501,0.5712
